"Variable","Anove_PValue"
"MSSubClass",8.66216626609822e-79
"MSZoning",8.81763386627081e-35
"Street",0.117048604067807
"Alley",4.89982616677104e-08
"LotShape",6.44752385201251e-25
"LandContour",2.74221675213728e-08
"Utilities",0.584716773968918
"LotConfig",3.16316747360327e-06
"LandSlope",0.141396358411384
"Neighborhood",1.55860028277205e-225
"Condition1",8.90454941613918e-08
"Condition2",0.0434256583609122
"BldgType",2.05673646049639e-10
"HouseStyle",3.37677653511641e-25
"RoofStyle",3.65352304709324e-17
"RoofMatl",7.23144477997918e-08
"Exterior1st",2.58608872863655e-43
"Exterior2nd",4.84218567070037e-43
"MasVnrType",4.79333117811884e-65
"ExterQual",1.43955109677077e-204
"ExterCond",5.10668060866771e-07
"Foundation",5.79189500222967e-91
"BsmtQual",9.61061510681769e-186
"BsmtCond",5.13690093770819e-09
"BsmtExposure",1.02267062918503e-42
"BsmtFinType1",1.80773100668432e-63
"BsmtFinType2",0.0194100896902362
"Heating",0.000753472106444982
"HeatingQC",2.66706209210202e-67
"CentralAir",1.80950615592689e-22
"Electrical",1.66324878147127e-18
"KitchenQual",3.03221275282311e-192
"Functional",0.000484169680107945
"FireplaceQu",5.01630044701821e-19
"GarageType",1.24715367065782e-66
"GarageFinish",1.19911653122624e-93
"GarageQual",1.24080264780225e-07
"GarageCond",1.30971430552946e-07
"PavedDrive",1.80356889065016e-18
"PoolQC",0.303985280112079
"Fence",0.00231264563563194
"MiscFeature",0.104727615687929
"SaleType",5.03976688945733e-42
"SaleCondition",7.98826840498428e-44
