"Variable","Anove_PValue"
"MSSubClass",8.66216626609822e-79
"MSZoning",8.81763386627081e-35
"Street",0.117048604067807
"Alley",2.9963796805443e-07
"LotShape",6.44752385201251e-25
"LandContour",2.74221675213728e-08
"Utilities",0.584716773968918
"LotConfig",3.16316747360327e-06
"LandSlope",0.141396358411384
"Neighborhood",1.55860028277205e-225
"Condition1",8.90454941613918e-08
"Condition2",0.0434256583609122
"BldgType",2.05673646049639e-10
"HouseStyle",3.37677653511641e-25
"RoofStyle",3.65352304709324e-17
"RoofMatl",7.23144477997918e-08
"Exterior1st",2.58608872863655e-43
"Exterior2nd",4.84218567070037e-43
"MasVnrType",1.05402516426665e-64
"ExterQual",1.43955109677077e-204
"ExterCond",5.10668060866771e-07
"Foundation",5.79189500222967e-91
"BsmtQual",8.15854808473643e-196
"BsmtCond",8.19579375611635e-16
"BsmtExposure",7.55775835918173e-50
"BsmtFinType1",2.38635793561311e-71
"BsmtFinType2",5.22564949005997e-08
"Heating",0.000753472106444982
"HeatingQC",2.66706209210202e-67
"CentralAir",1.80950615592689e-22
"Electrical",8.22692547368026e-18
"KitchenQual",3.03221275282311e-192
"Functional",0.000484169680107945
"FireplaceQu",2.97121697275949e-107
"GarageType",6.11702580544398e-87
"GarageFinish",6.2287471815079e-115
"GarageQual",5.38876237933131e-25
"GarageCond",5.71174564578008e-25
"PavedDrive",1.80356889065016e-18
"PoolQC",7.70098941570587e-07
"Fence",9.37997659478314e-11
"MiscFeature",0.035003671875408
"SaleType",5.03976688945733e-42
"SaleCondition",7.98826840498428e-44
