"Var1","Var2","Freq"
"","      Id","Min.   :   1.0  "
"","      Id","1st Qu.: 365.8  "
"","      Id","Median : 730.5  "
"","      Id","Mean   : 730.5  "
"","      Id","3rd Qu.:1095.2  "
"","      Id","Max.   :1460.0  "
"","      Id",NA
"","  MSSubClass","20     :536  "
"","  MSSubClass","60     :299  "
"","  MSSubClass","50     :144  "
"","  MSSubClass","120    : 87  "
"","  MSSubClass","30     : 69  "
"","  MSSubClass","160    : 63  "
"","  MSSubClass","(Other):262  "
"","   MSZoning","C (all):  10  "
"","   MSZoning","FV     :  65  "
"","   MSZoning","RH     :  16  "
"","   MSZoning","RL     :1151  "
"","   MSZoning","RM     : 218  "
"","   MSZoning",NA
"","   MSZoning",NA
""," LotFrontage","Min.   : 21.00  "
""," LotFrontage","1st Qu.: 59.00  "
""," LotFrontage","Median : 69.00  "
""," LotFrontage","Mean   : 70.05  "
""," LotFrontage","3rd Qu.: 80.00  "
""," LotFrontage","Max.   :313.00  "
""," LotFrontage","NA's   :259  "
"","   LotArea","Min.   :  1300  "
"","   LotArea","1st Qu.:  7554  "
"","   LotArea","Median :  9478  "
"","   LotArea","Mean   : 10517  "
"","   LotArea","3rd Qu.: 11602  "
"","   LotArea","Max.   :215245  "
"","   LotArea",NA
""," Street","Grvl:   6  "
""," Street","Pave:1454  "
""," Street",NA
""," Street",NA
""," Street",NA
""," Street",NA
""," Street",NA
""," Alley","Grvl:  50  "
""," Alley","Pave:  41  "
""," Alley","NA's:1369  "
""," Alley",NA
""," Alley",NA
""," Alley",NA
""," Alley",NA
"","LotShape","IR1:484  "
"","LotShape","IR2: 41  "
"","LotShape","IR3: 10  "
"","LotShape","Reg:925  "
"","LotShape",NA
"","LotShape",NA
"","LotShape",NA
"","LandContour","Bnk:  63  "
"","LandContour","HLS:  50  "
"","LandContour","Low:  36  "
"","LandContour","Lvl:1311  "
"","LandContour",NA
"","LandContour",NA
"","LandContour",NA
""," Utilities","AllPub:1459  "
""," Utilities","NoSeWa:   1  "
""," Utilities",NA
""," Utilities",NA
""," Utilities",NA
""," Utilities",NA
""," Utilities",NA
"","  LotConfig","Corner : 263  "
"","  LotConfig","CulDSac:  94  "
"","  LotConfig","FR2    :  47  "
"","  LotConfig","FR3    :   4  "
"","  LotConfig","Inside :1052  "
"","  LotConfig",NA
"","  LotConfig",NA
"","LandSlope","Gtl:1382  "
"","LandSlope","Mod:  65  "
"","LandSlope","Sev:  13  "
"","LandSlope",NA
"","LandSlope",NA
"","LandSlope",NA
"","LandSlope",NA
""," Neighborhood","NAmes  :225  "
""," Neighborhood","CollgCr:150  "
""," Neighborhood","OldTown:113  "
""," Neighborhood","Edwards:100  "
""," Neighborhood","Somerst: 86  "
""," Neighborhood","Gilbert: 79  "
""," Neighborhood","(Other):707  "
"","  Condition1","Norm   :1260  "
"","  Condition1","Feedr  :  81  "
"","  Condition1","Artery :  48  "
"","  Condition1","RRAn   :  26  "
"","  Condition1","PosN   :  19  "
"","  Condition1","RRAe   :  11  "
"","  Condition1","(Other):  15  "
"","  Condition2","Norm   :1445  "
"","  Condition2","Feedr  :   6  "
"","  Condition2","Artery :   2  "
"","  Condition2","PosN   :   2  "
"","  Condition2","RRNn   :   2  "
"","  Condition2","PosA   :   1  "
"","  Condition2","(Other):   2  "
"","  BldgType","1Fam  :1220  "
"","  BldgType","2fmCon:  31  "
"","  BldgType","Duplex:  52  "
"","  BldgType","Twnhs :  43  "
"","  BldgType","TwnhsE: 114  "
"","  BldgType",NA
"","  BldgType",NA
"","  HouseStyle","1Story :726  "
