"Var1","Var2","Freq"
"","  MSSubClass","20     :536  "
"","  MSSubClass","60     :299  "
"","  MSSubClass","50     :144  "
"","  MSSubClass","120    : 87  "
"","  MSSubClass","30     : 69  "
"","  MSSubClass","160    : 63  "
"","  MSSubClass","(Other):262  "
"","   MSZoning","C (all):  10  "
"","   MSZoning","FV     :  65  "
"","   MSZoning","RH     :  16  "
"","   MSZoning","RL     :1151  "
"","   MSZoning","RM     : 218  "
"","   MSZoning",NA
"","   MSZoning",NA
""," Street","Grvl:   6  "
""," Street","Pave:1454  "
""," Street",NA
""," Street",NA
""," Street",NA
""," Street",NA
""," Street",NA
""," Alley","Grvl:  50  "
""," Alley","Pave:  41  "
""," Alley","NA's:1369  "
""," Alley",NA
""," Alley",NA
""," Alley",NA
""," Alley",NA
"","LotShape","IR1:484  "
"","LotShape","IR2: 41  "
"","LotShape","IR3: 10  "
"","LotShape","Reg:925  "
"","LotShape",NA
"","LotShape",NA
"","LotShape",NA
"","LandContour","Bnk:  63  "
"","LandContour","HLS:  50  "
"","LandContour","Low:  36  "
"","LandContour","Lvl:1311  "
"","LandContour",NA
"","LandContour",NA
"","LandContour",NA
""," Utilities","AllPub:1459  "
""," Utilities","NoSeWa:   1  "
""," Utilities",NA
""," Utilities",NA
""," Utilities",NA
""," Utilities",NA
""," Utilities",NA
"","  LotConfig","Corner : 263  "
"","  LotConfig","CulDSac:  94  "
"","  LotConfig","FR2    :  47  "
"","  LotConfig","FR3    :   4  "
"","  LotConfig","Inside :1052  "
"","  LotConfig",NA
"","  LotConfig",NA
"","LandSlope","Gtl:1382  "
"","LandSlope","Mod:  65  "
"","LandSlope","Sev:  13  "
"","LandSlope",NA
"","LandSlope",NA
"","LandSlope",NA
"","LandSlope",NA
""," Neighborhood","NAmes  :225  "
""," Neighborhood","CollgCr:150  "
""," Neighborhood","OldTown:113  "
""," Neighborhood","Edwards:100  "
""," Neighborhood","Somerst: 86  "
""," Neighborhood","Gilbert: 79  "
""," Neighborhood","(Other):707  "
"","  Condition1","Norm   :1260  "
"","  Condition1","Feedr  :  81  "
"","  Condition1","Artery :  48  "
"","  Condition1","RRAn   :  26  "
"","  Condition1","PosN   :  19  "
"","  Condition1","RRAe   :  11  "
"","  Condition1","(Other):  15  "
"","  Condition2","Norm   :1445  "
"","  Condition2","Feedr  :   6  "
"","  Condition2","Artery :   2  "
"","  Condition2","PosN   :   2  "
"","  Condition2","RRNn   :   2  "
"","  Condition2","PosA   :   1  "
"","  Condition2","(Other):   2  "
"","  BldgType","1Fam  :1220  "
"","  BldgType","2fmCon:  31  "
"","  BldgType","Duplex:  52  "
"","  BldgType","Twnhs :  43  "
"","  BldgType","TwnhsE: 114  "
"","  BldgType",NA
"","  BldgType",NA
"","  HouseStyle","1Story :726  "
"","  HouseStyle","2Story :445  "
"","  HouseStyle","1.5Fin :154  "
"","  HouseStyle","SLvl   : 65  "
"","  HouseStyle","SFoyer : 37  "
"","  HouseStyle","1.5Unf : 14  "
"","  HouseStyle","(Other): 19  "
"","  RoofStyle","Flat   :  13  "
"","  RoofStyle","Gable  :1141  "
"","  RoofStyle","Gambrel:  11  "
"","  RoofStyle","Hip    : 286  "
"","  RoofStyle","Mansard:   7  "
"","  RoofStyle","Shed   :   2  "
"","  RoofStyle",NA
"","   RoofMatl","CompShg:1434  "
"","   RoofMatl","Tar&Grv:  11  "
"","   RoofMatl","WdShngl:   6  "
"","   RoofMatl","WdShake:   5  "
"","   RoofMatl","ClyTile:   1  "
"","   RoofMatl","Membran:   1  "
"","   RoofMatl","(Other):   2  "
""," Exterior1st","VinylSd:515  "
""," Exterior1st","HdBoard:222  "
""," Exterior1st","MetalSd:220  "
""," Exterior1st","Wd Sdng:206  "
""," Exterior1st","Plywood:108  "
""," Exterior1st","CemntBd: 61  "
""," Exterior1st","(Other):128  "
""," Exterior2nd","VinylSd:504  "
""," Exterior2nd","MetalSd:214  "
""," Exterior2nd","HdBoard:207  "
""," Exterior2nd","Wd Sdng:197  "
""," Exterior2nd","Plywood:142  "
""," Exterior2nd","CmentBd: 60  "
""," Exterior2nd","(Other):136  "
"","  MasVnrType","BrkCmn : 15  "
"","  MasVnrType","BrkFace:445  "
"","  MasVnrType","None   :864  "
"","  MasVnrType","Stone  :128  "
"","  MasVnrType","NA's   :  8  "
"","  MasVnrType",NA
"","  MasVnrType",NA
"","ExterQual","Ex: 52  "
"","ExterQual","Fa: 14  "
"","ExterQual","Gd:488  "
"","ExterQual","TA:906  "
"","ExterQual",NA
"","ExterQual",NA
"","ExterQual",NA
"","ExterCond","Ex:   3  "
"","ExterCond","Fa:  28  "
"","ExterCond","Gd: 146  "
"","ExterCond","Po:   1  "
"","ExterCond","TA:1282  "
"","ExterCond",NA
"","ExterCond",NA
""," Foundation","BrkTil:146  "
""," Foundation","CBlock:634  "
""," Foundation","PConc :647  "
""," Foundation","Slab  : 24  "
""," Foundation","Stone :  6  "
""," Foundation","Wood  :  3  "
""," Foundation",NA
"","BsmtQual","Ex  :121  "
"","BsmtQual","Fa  : 35  "
"","BsmtQual","Gd  :618  "
"","BsmtQual","TA  :649  "
"","BsmtQual","NA's: 37  "
"","BsmtQual",NA
"","BsmtQual",NA
"","BsmtCond","Fa  :  45  "
"","BsmtCond","Gd  :  65  "
"","BsmtCond","Po  :   2  "
"","BsmtCond","TA  :1311  "
"","BsmtCond","NA's:  37  "
"","BsmtCond",NA
"","BsmtCond",NA
"","BsmtExposure","Av  :221  "
"","BsmtExposure","Gd  :134  "
"","BsmtExposure","Mn  :114  "
"","BsmtExposure","No  :953  "
"","BsmtExposure","NA's: 38  "
"","BsmtExposure",NA
"","BsmtExposure",NA
"","BsmtFinType1","ALQ :220  "
"","BsmtFinType1","BLQ :148  "
"","BsmtFinType1","GLQ :418  "
"","BsmtFinType1","LwQ : 74  "
"","BsmtFinType1","Rec :133  "
"","BsmtFinType1","Unf :430  "
"","BsmtFinType1","NA's: 37  "
"","BsmtFinType2","ALQ :  19  "
"","BsmtFinType2","BLQ :  33  "
"","BsmtFinType2","GLQ :  14  "
"","BsmtFinType2","LwQ :  46  "
"","BsmtFinType2","Rec :  54  "
"","BsmtFinType2","Unf :1256  "
"","BsmtFinType2","NA's:  38  "
""," Heating","Floor:   1  "
""," Heating","GasA :1428  "
""," Heating","GasW :  18  "
""," Heating","Grav :   7  "
""," Heating","OthW :   2  "
""," Heating","Wall :   4  "
""," Heating",NA
"","HeatingQC","Ex:741  "
"","HeatingQC","Fa: 49  "
"","HeatingQC","Gd:241  "
"","HeatingQC","Po:  1  "
"","HeatingQC","TA:428  "
"","HeatingQC",NA
"","HeatingQC",NA
"","CentralAir","N:  95  "
"","CentralAir","Y:1365  "
"","CentralAir",NA
"","CentralAir",NA
"","CentralAir",NA
"","CentralAir",NA
"","CentralAir",NA
"","Electrical","FuseA:  94  "
"","Electrical","FuseF:  27  "
"","Electrical","FuseP:   3  "
"","Electrical","Mix  :   1  "
