"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","Fence","MiscVal","YrSold","SaleType","SaleCondition","SalePrice","PoolQC_f","MiscFeature_f","Condition2_f","YearRemodeDecile","MoSoldQtr","AgeofHouse","Time_Since_Remodel","num_ext_materials","num_basmt_materials","perc_2nd_1st_floor","perc_1st_tot_floor","perc_unf_bsmt","num_excellents","perc_openArea","predicted_price"
2,"20","RL",80,9600,"Missing","Reg","Lvl","FR2","Gtl","Veenker","Feedr","1Fam",6,8,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",1262,"GasA","Ex","Y","SBrkr",1262,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd","RFn",2,460,"TA","TA","Y",298,0,0,0,0,"No Fence",0,2007,"WD","Normal",181500,0,"0",1,"3","Q2",31,31,1,2,0,1,0.225039619651347,0.111111111111111,0.868541666666667,184520.576358518
3,"60","RL",68,11250,"Missing","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",920,"GasA","Ex","Y","SBrkr",920,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd","RFn",2,608,"TA","TA","Y",0,42,0,0,0,"No Fence",0,2008,"WD","Normal",223500,0,"0",1,"4","Q3",7,6,1,2,0.941304347826087,0.51511758118701,0.471739130434783,0.111111111111111,0.918222222222222,216539.895913749
4,"70","RL",60,9550,"Missing","IR1","Lvl","Corner","Gtl","Crawfor","Norm","1Fam",7,5,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",756,"GasA","Gd","Y","SBrkr",961,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd","Unf",3,642,"TA","TA","Y",0,35,272,0,0,"No Fence",0,2006,"WD","Abnorml",140000,0,"0",1,"2","Q1",91,36,2,2,0.786680541103018,0.559697146185207,0.714285714285714,0,0.899371727748691,173756.556959229
5,"60","RL",84,14260,"Missing","IR1","Lvl","FR2","Gtl","NoRidge","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",1145,"GasA","Ex","Y","SBrkr",1145,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd","RFn",3,836,"TA","TA","Y",192,84,0,0,0,"No Fence",0,2008,"WD","Normal",250000,0,"0",1,"4","Q4",8,8,1,2,0.919650655021834,0.520928116469518,0.427947598253275,0.111111111111111,0.919705469845722,290285.203965454
6,"50","RL",85,14115,"Missing","IR1","Lvl","Inside","Gtl","Mitchel","Norm","1Fam",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf",796,"GasA","Ex","Y","SBrkr",796,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,"No Fireplace","Attchd","Unf",2,480,"TA","TA","Y",40,30,0,320,0,"MnPrv",700,2009,"WD","Normal",143000,0,"1",1,"4","Q4",16,14,1,2,0.71105527638191,0.584434654919236,0.0804020100502513,0.111111111111111,0.943606092809068,160451.660233706
7,"20","RL",75,10084,"Missing","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",1686,"GasA","Ex","Y","SBrkr",1694,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,636,"TA","TA","Y",255,57,0,0,0,"No Fence",0,2007,"WD","Normal",307000,0,"0",1,"4","Q3",3,2,1,2,0,1,0.188018979833926,0.222222222222222,0.832011106703689,277620.210297689
9,"50","RM",51,6120,"Missing","Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam",7,5,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",952,"GasA","Gd","Y","FuseF",1022,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"TA","Detchd","Unf",2,468,"Fa","TA","Y",90,0,205,0,0,"No Fence",0,2008,"WD","Abnorml",129900,0,"0",1,"1","Q2",77,58,2,0,0.735812133072407,0.576099210822999,1,0,0.833006535947712,144401.592252081
12,"60","RL",85,11924,"Missing","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam",9,5,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",1175,"GasA","Ex","Y","SBrkr",1182,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn","Fin",3,736,"TA","TA","Y",147,21,0,0,0,"No Fence",0,2006,"New","Partial",345000,0,"0",1,"4","Q3",1,0,2,2,0.966159052453469,0.508605851979346,0.15063829787234,0.444444444444444,0.900872190540087,381758.111598691
13,"20","RL",69,12968,"Missing","IR2","Lvl","Inside","Gtl","Sawyer","Norm","1Fam",5,6,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",912,"GasA","TA","Y","SBrkr",912,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,"No Fireplace","Detchd","Unf",1,352,"TA","TA","Y",140,0,0,0,176,"No Fence",0,2008,"WD","Normal",144000,0,"0",1,"2","Q3",46,46,2,2,0,1,0.191885964912281,0,0.929673041332511,131153.697954534
15,"20","RL",69,10920,"Missing","IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam",6,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",1253,"GasA","TA","Y","SBrkr",1253,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd","RFn",1,352,"TA","TA","Y",0,213,176,0,0,"GdWo",0,2008,"WD","Normal",157000,0,"0",1,"2","Q2",48,48,1,2,0,1,0.415003990422985,0,0.88525641025641,148998.447780039
16,"45","RM",51,6120,"Missing","Reg","Lvl","Corner","Gtl","BrkSide","Norm","1Fam",7,8,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",832,"GasA","Ex","Y","FuseA",854,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"No Fireplace","Detchd","Unf",2,576,"TA","TA","Y",48,112,0,0,0,"GdPrv",0,2007,"WD","Normal",132000,0,"0",1,"4","Q3",78,6,1,0,0,1,1,0.111111111111111,0.860457516339869,142522.10855234
17,"20","RL",69,11241,"Missing","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam",6,7,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",1004,"GasA","Ex","Y","SBrkr",1004,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd","Fin",2,480,"TA","TA","Y",0,0,0,0,0,"No Fence",700,2010,"WD","Normal",149000,0,"1",1,"2","Q1",40,40,1,2,0,1,0.424302788844622,0.111111111111111,0.910684102837826,158648.509779141
18,"90","RL",72,10791,"Missing","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Duplex",4,5,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","No Basement","No Basement","No Basement","No Basement",0,"No Basement",0,"GasA","TA","Y","SBrkr",1296,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"No Fireplace","CarPort","Unf",2,516,"TA","TA","Y",0,0,0,0,0,"No Fence",500,2006,"WD","Normal",90000,0,"1",1,"2","Q4",39,39,1,-1,0,1,-1,0,0.879899916597164,105149.447103339
19,"20","RL",66,13695,"Missing","Reg","Lvl","Inside","Gtl","SawyerW","RRAe","1Fam",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",1114,"GasA","Ex","Y","SBrkr",1114,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"No Fireplace","Detchd","Unf",2,576,"TA","TA","Y",0,102,0,0,0,"No Fence",0,2008,"WD","Normal",159000,0,"0",1,"4","Q2",4,4,1,2,0,1,0.420107719928187,0.111111111111111,0.918656443957649,148150.485967877
21,"60","RL",101,14215,"Missing","IR1","Lvl","Corner","Gtl","NridgHt","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1158,"GasA","Ex","Y","SBrkr",1158,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn","RFn",3,853,"TA","TA","Y",240,154,0,0,0,"No Fence",0,2006,"New","Partial",325300,0,"0",1,"4","Q4",1,0,1,0,1.05181347150259,0.487373737373737,1,0.222222222222222,0.918536756946887,321167.067700778
22,"45","RM",57,7449,"Grvl","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","1Fam",7,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",637,"GasA","Ex","Y","FuseF",1108,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,280,"TA","TA","N",0,0,205,0,0,"GdPrv",0,2007,"WD","Normal",139400,0,"0",1,"1","Q2",77,57,1,0,0,1,1,0.111111111111111,0.851255202040542,130599.746433448
