"Feature","Gain","Cover","Frequence"
"OverallQual",0.277183716953924,0.0501314854627827,0.0282815198618307
"GrLivArea",0.189697317834654,0.0798075237365862,0.0690846286701209
"TotalBsmtSF",0.0999297939336222,0.0561096911706358,0.0470639032815199
"AgeofHouse",0.0465677627909302,0.0392121944693062,0.0392918825561313
"Fireplaces",0.0419188627499112,0.00947341225536784,0.00863557858376511
"GarageCars",0.0400422666780334,0.00278749181099311,0.00669257340241796
"GarageType",0.0350691329545717,0.0109386677985181,0.0107944732297064
"LotArea",0.0282918539631642,0.0834180684093488,0.0775043177892919
"CentralAir",0.0256571741520267,0.00449357335966118,0.00215889464594128
"Time_Since_Remodel",0.0242233828278228,0.0294933426834107,0.0345423143350604
"BsmtFinSF1",0.0224811066276478,0.0399374406008655,0.0336787564766839
"KitchenQual",0.0201685158214126,0.00469472305009365,0.00690846286701209
"YearRemodeDecile",0.0138025109062732,0.00442621589451636,0.00712435233160622
"OverallCond",0.0136263630062811,0.042759995201934,0.0237478411053541
"GarageArea",0.0124105196936418,0.0484272493241186,0.03713298791019
"GarageQual",0.00824333749963923,0.00197643411424933,0.00323834196891192
"MSZoning",0.00710003772944854,0.0134678022089558,0.0105785837651123
"BsmtQual",0.00689093937345151,0.00761969790638235,0.00604490500863558
"BsmtUnfSF",0.00678595143992117,0.0510329682497209,0.0548359240069085
"Neighborhood",0.00600810765453704,0.0231183738247045,0.0313039723661485
"SaleCondition",0.00600596847908894,0.0126032276220969,0.0110103626943005
"Functional",0.00427929339192403,0.0120569862609225,0.00626079447322971
"LotFrontage",0.00395619509657805,0.0254435904297037,0.0399395509499136
"KitchenAbvGr",0.0037924337355454,0.00209915387951318,0.00172711571675302
"X2ndFlrSF",0.00372807783944823,0.00824806001273333,0.0151122625215889
"perc_1st_2nd_floor",0.00346624890502879,0.0105511316976849,0.0157599309153713
"MasVnrArea",0.0027604697172948,0.0290707437925021,0.0254749568221071
"Exterior1st",0.00274792643883432,0.0201860173283999,0.0231001727115717
"Condition1",0.00273126067464196,0.0228876975742086,0.0103626943005181
"OpenPorchSF",0.00262383482580958,0.025142788599057,0.0239637305699482
"WoodDeckSF",0.00253040081701812,0.0105391365326591,0.0228842832469775
"TotRmsAbvGrd",0.00237087453298285,0.00714635024036465,0.0107944732297064
"BsmtFinType1",0.00230859215080177,0.011743266560248,0.0133851468048359
"MSSubClass",0.00214878681886654,0.00452494532972863,0.0153281519861831
"BsmtExposure",0.00199831665543451,0.00776640800169778,0.0133851468048359
"Fence",0.00186123067727109,0.00036262306577964,0.00280656303972366
"YrSold",0.00172017564124009,0.0138682561798168,0.0189982728842832
"BsmtFullBath",0.00169830046554138,0.0120634451959364,0.00712435233160622
"ScreenPorch",0.00150697853625282,0.0122895079214224,0.00604490500863558
"SaleType",0.00134438285266189,0.0144643236110983,0.00993091537132988
"BedroomAbvGr",0.0013083028900296,0.00567648117220443,0.00841968911917098
"HalfBath",0.00120735343600802,0.0036428393478321,0.00626079447322971
"ExterQual",0.00111117815330201,0.00143757439309079,0.00453367875647668
"FireplaceQu",0.00103820943314751,0.00232152578499128,0.00993091537132988
"LandContour",0.00102498274152415,0.00272197975585226,0.00539723661485319
"MasVnrType",0.00093214231852793,0.00928518043496314,0.00885146804835924
"Foundation",0.000855057938927236,0.00627623942349391,0.0103626943005181
"HeatingQC",0.000850555287680359,0.0031528829917787,0.00949913644214162
"EnclosedPorch",0.000836987752162118,0.0185186893898152,0.0123056994818653
"FullBath",0.000816505446026375,0.00217850650968379,0.00259067357512953
"Exterior2nd",0.000807593272617068,0.00314181053175489,0.0110103626943005
"MoSoldQtr",0.000803425904575997,0.0100768613266653,0.0140328151986183
"BsmtFinSF2",0.000754352133473736,0.0165690137206234,0.00885146804835924
"GarageFinish",0.000752910340274351,0.0110687692037979,0.00841968911917098
"RoofStyle",0.000752804356825678,0.000800907941721952,0.00755613126079447
"num_basmt_materials",0.000702501051712825,0.0012142797826107,0.00129533678756477
"LotConfig",0.00064738161381342,0.0055131623868533,0.00949913644214162
"BldgType",0.000549448386757741,0.0019727432942414,0.00323834196891192
"BsmtFinType2",0.000432425384929393,0.000729859656569198,0.00302245250431779
"LotShape",0.000384648361721072,0.00135637635291621,0.00453367875647668
"PavedDrive",0.000370697304526827,0.00248484457034242,0.00280656303972366
"Alley",0.000296397539410543,0.00105096099725957,0.00194300518134715
"BsmtHalfBath",0.000256521272614862,0.000601603661293448,0.00107944732297064
"X3SsnPorch",0.000225782289090375,0.00558051985199812,0.00215889464594128
"Electrical",0.000177703024067423,0.00372034656799875,0.00280656303972366
"MiscVal",0.000150045314006115,0.00196997517923545,0.00151122625215889
"num_ext_materials",0.0000907147709298747,0.000654197846406525,0.00302245250431779
"LandSlope",0.0000836286873028036,0.00098175812211078,0.000647668393782383
"LowQualFinSF",0.0000585436446683909,0.00594867914778966,0.00151122625215889
"Heating",0.0000303703963958057,0.000298033715640773,0.000215889464594128
"perc_low_qlty_finsh",0.0000124267097704589,0.00266938557073918,0.000647668393782383
