nrounds,nodesize,rmse_rf_train,rmse_rf_test
800,5,12042.93012,24439.20492
100,5,12139.69005,24603.2662
300,5,12185.72259,24624.92681
600,5,12002.33969,24643.01005
500,5,12034.7668,24785.97639
300,10,14092.97586,24923.56925
600,10,14126.06371,24968.75397
500,10,14182.20007,25024.28851
800,10,14063.23272,25034.6908
600,15,16825.08841,25343.53348
100,15,16838.66292,25345.73982
300,15,16887.99787,25356.78676
800,15,16761.72443,25421.87873
100,10,14392.96987,25466.51866
500,15,16691.27669,25676.35447
500,25,20342.57078,26172.08232
100,25,20508.49894,26180.20974
300,25,20507.50566,26376.37913
800,25,20577.23383,26378.82245
600,25,20604.71325,26531.70282
600,50,26059.85827,29051.82934
300,50,26125.11403,29162.20847
100,50,26256.03019,29186.45408
500,50,26231.69125,29389.33958
800,50,26242.42937,29399.38262
