"nrounds","eta","max_depth","colsample_bytree","min_child_weight","rmse_xgb_train","rmse_xgb_test"
800,0.001,5,0.5,5,5.42111677746545,5.40010899863727
1000,0.001,5,0.5,5,4.44269169737103,4.42275273033478
1200,0.001,5,0.5,5,3.641621541685,3.62238468650087
1500,0.001,5,0.5,5,2.70421126821242,2.68592780700546
800,0.005,5,0.5,5,0.253454855599895,0.259890895454655
1000,0.005,5,0.5,5,0.128453138845008,0.15639605881405
1200,0.005,5,0.5,5,0.0908456021190116,0.136497164200631
1500,0.005,5,0.5,5,0.074757985316676,0.131353429189373
800,0.008,5,0.5,5,0.0838400186262617,0.134158919608212
1000,0.008,5,0.5,5,0.0710287789439392,0.130893410051927
1200,0.008,5,0.5,5,0.0634420286001295,0.129609431059136
1500,0.008,5,0.5,5,0.0540782665364933,0.128387108951762
800,0.01,5,0.5,5,0.0716520438208993,0.132979018386106
1000,0.01,5,0.5,5,0.0610423402763441,0.130308472477282
1200,0.01,5,0.5,5,0.0544043310801671,0.129111159552537
1500,0.01,5,0.5,5,0.0462621913336357,0.128348379160199
800,0.001,6,0.5,5,5.42113984571598,5.40012529928368
1000,0.001,6,0.5,5,4.44264823453731,4.42290661606109
1200,0.001,6,0.5,5,3.64164163342632,3.62225528136115
1500,0.001,6,0.5,5,2.70417207397374,2.68601086756015
800,0.005,6,0.5,5,0.252476420652328,0.259332815736906
1000,0.005,6,0.5,5,0.124162627550705,0.157033335374817
1200,0.005,6,0.5,5,0.0836266050012501,0.134824945843395
1500,0.005,6,0.5,5,0.0656194419532425,0.131086903927309
800,0.008,6,0.5,5,0.0767743244101939,0.132634896385161
1000,0.008,6,0.5,5,0.0625337722725647,0.130977644001855
1200,0.008,6,0.5,5,0.0528690901318272,0.128834421335568
1500,0.008,6,0.5,5,0.0433034010526483,0.128449222143159
800,0.01,6,0.5,5,0.0621513927702175,0.130701761020931
1000,0.01,6,0.5,5,0.0518658424877256,0.129143559474549
1200,0.01,6,0.5,5,0.0430003240107128,0.129660321046586
1500,0.01,6,0.5,5,0.0361297930618494,0.128393652032155
800,0.001,8,0.5,5,5.42114252728944,5.40002526509397
