"","sapply.train..class."
"Id","integer"
"MSSubClass","integer"
"MSZoning","factor"
"LotFrontage","integer"
"LotArea","integer"
"Street","factor"
"Alley","factor"
"LotShape","factor"
"LandContour","factor"
"Utilities","factor"
"LotConfig","factor"
"LandSlope","factor"
"Neighborhood","factor"
"Condition1","factor"
"Condition2","factor"
"BldgType","factor"
"HouseStyle","factor"
"OverallQual","integer"
"OverallCond","integer"
"YearBuilt","integer"
"YearRemodAdd","integer"
"RoofStyle","factor"
"RoofMatl","factor"
"Exterior1st","factor"
"Exterior2nd","factor"
"MasVnrType","factor"
"MasVnrArea","integer"
"ExterQual","factor"
"ExterCond","factor"
"Foundation","factor"
"BsmtQual","factor"
"BsmtCond","factor"
"BsmtExposure","factor"
"BsmtFinType1","factor"
"BsmtFinSF1","integer"
"BsmtFinType2","factor"
"BsmtFinSF2","integer"
"BsmtUnfSF","integer"
"TotalBsmtSF","integer"
"Heating","factor"
"HeatingQC","factor"
"CentralAir","factor"
"Electrical","factor"
"X1stFlrSF","integer"
"X2ndFlrSF","integer"
"LowQualFinSF","integer"
"GrLivArea","integer"
"BsmtFullBath","integer"
"BsmtHalfBath","integer"
"FullBath","integer"
"HalfBath","integer"
"BedroomAbvGr","integer"
"KitchenAbvGr","integer"
"KitchenQual","factor"
"TotRmsAbvGrd","integer"
"Functional","factor"
"Fireplaces","integer"
"FireplaceQu","factor"
"GarageType","factor"
"GarageYrBlt","integer"
"GarageFinish","factor"
"GarageCars","integer"
"GarageArea","integer"
"GarageQual","factor"
"GarageCond","factor"
"PavedDrive","factor"
"WoodDeckSF","integer"
"OpenPorchSF","integer"
"EnclosedPorch","integer"
"X3SsnPorch","integer"
"ScreenPorch","integer"
"PoolArea","integer"
"PoolQC","factor"
"Fence","factor"
"MiscFeature","factor"
"MiscVal","integer"
"MoSold","integer"
"YrSold","integer"
"SaleType","factor"
"SaleCondition","factor"
"SalePrice","integer"
